Benchmark,Queue_Type,Threads,Payload_Size,Queue_Depth,Sample_Count,Mean_Latency_us,Min_Latency_us,Max_Latency_us,Std_Dev_us,Jitter,Memory_Overhead_bytes,Contention_Rate,Queue_Full_Failures,P50_us,P90_us,P95_us,P99_us,P99_9_us,P99_99_us,Throughput_ops_per_sec
P2:C1,HP,3,88,0,10000,6863.64,2.7,13484.1,3896.61,0.567718,880256,0,0,6854.17,12053.4,12745.7,13475.6,13482.8,13483.7,95748.7
P2:C1,Boost,3,88,0,10000,18.3287,0.7,75.498,19.1695,1.04587,6647168,0,0,9.799,54.099,62.499,72.399,74.898,75.498,94199.6
P4:C1,Lock,5,88,0,20000,4458.4,1.7,7290.36,1753.98,0.39341,1760120,0.00208015,0,4402.22,6762.47,7022.96,7215.66,7241.36,7269.76,178359
P4:C1,EBR,5,88,0,20000,404.166,2.4,804.785,200.564,0.496241,1761152,0,0,471.49,612.888,745.185,786.485,798.984,801.784,177921
P4:C1,HP,5,88,0,20000,13535.9,1.3,26540,7079.1,0.522986,1760256,0,0,13489.4,23642.8,25099.9,25805.8,26538.6,26539.5,180556
P4:C1,Boost,5,88,0,20000,2240.19,0.9,4117.92,1156.21,0.516119,7527168,0,0,2243.96,3842.62,3986.52,4096.22,4111.22,4114.62,179178
P8:C1,Lock,9,88,0,40000,14992.8,2.7,25010.8,6169.96,0.411527,3520120,0.00548472,0,15349.5,23448.3,24350.8,24739.7,24815.1,24917.7,301537
P8:C1,EBR,9,88,0,40000,2328.47,0.4,3483.93,789.278,0.338968,3521152,0,0,2434.15,3081.44,3250.84,3382.03,3464.93,3479.13,335263
P8:C1,HP,9,88,0,40000,27732.2,2.1,55185.8,14908,0.53757,3520256,0,0,27017.4,49012.3,52180.6,54413.7,55182.5,55185.7,335499
P8:C1,Boost,9,88,0,40000,3321.86,1.4,5435.6,1299.62,0.391232,9287168,0,0,3515.33,5080.2,5268.4,5348.3,5361.5,5381.69,334411
P4:C2,Lock,6,88,0,20000,2366.46,0.6,4561.31,1082.31,0.457353,1760120,0.0988167,0,2350.65,3872.32,4165.22,4232.62,4266.92,4348.62,169989
P4:C2,EBR,6,88,0,20000,1064.26,1.9,1979.16,458.274,0.430603,1761152,0,0,1085.68,1659.57,1688.87,1733.77,1737.77,1748.47,181677
P4:C2,HP,6,88,0,20000,11106.5,1.8,20536.7,5744.63,0.517231,1760256,0,0,11971.4,18802.1,19629.7,19725.8,20381.9,20385.2,191701
P4:C2,Boost,6,88,0,20000,2759.72,1.8,4054.32,1191.22,0.431645,7527168,0,0,3288.84,3893.52,3942.02,4016.42,4047.82,4054.12,181897
P8:C2,Lock,10,88,0,40000,16710.2,0.4,25144.1,5124.23,0.306652,3520120,0.0747135,0,16937.2,23563.2,24452.5,24801.7,24930.4,24968.1,291274
P8:C2,EBR,10,88,0,40000,2022.35,0.9,3434.73,968.011,0.478657,3521152,0,0,2237.66,3242.04,3340.94,3413.43,3425.63,3427.83,322277
P8:C2,HP,10,88,0,40000,12725.4,1.5,22868,5711.46,0.448822,3520256,0,0,14425,19785.7,21124.9,22070.9,22638.2,22642.9,314969
P8:C2,Boost,10,88,0,40000,3989.86,1,5602.59,1400.81,0.351094,9287168,0,0,4566.71,5390.8,5495.99,5555.09,5566.39,5580.59,317647
P8:C4,Lock,12,88,0,40000,14646.8,1.7,21982.5,4926.4,0.336346,3520120,0.248393,0,15250.7,21246.1,21628.7,21879.3,21913.3,21957.7,277031
P8:C4,EBR,12,88,0,40000,2434.8,0.6,3850.53,909.996,0.373745,3521152,0,0,2864.04,3328.14,3462.43,3594.03,3643.73,3654.33,316632
P8:C4,HP,12,88,0,40000,6077.55,1.2,13074.8,3283.24,0.540225,3520256,0,0,6220.48,11082.9,11517.8,12487.7,12548.1,12552.4,328369
P8:C4,Boost,12,88,0,40000,3550.22,0.5,5030.7,1386.64,0.390577,9287168,0,0,4340.72,4890.61,4943.9,4972.7,4989,5005.2,320529
P1:C2,Lock,3,88,0,5000,422.374,0.7,804.084,256.625,0.607577,440120,0.0420181,0,401.192,704.586,730.385,800.684,803.884,803.984,47780.7
P1:C2,EBR,3,88,0,5000,106.193,1.3,155.897,25.0255,0.23566,441152,0,0,106.198,139.297,143.697,150.297,154.897,155.897,48916.5
P1:C2,HP,3,88,0,5000,1385.18,0.3,3591.03,986.219,0.711979,440256,0,0,1412.27,2825.75,2874.74,2903.84,2909.64,2982.54,49083.5
P1:C2,Boost,3,88,0,5000,359.758,0.8,583.389,153.241,0.425954,6207168,0,0,364.493,549.79,568.589,580.689,582.689,583.289,48490.1
P1:C4,Lock,5,88,0,5000,198.331,0.2,768.485,235.602,1.18792,440120,0.206706,0,67.099,598.789,666.787,737.385,755.585,763.385,45756.8
P1:C4,EBR,5,88,0,5000,486.81,0.6,833.684,228.656,0.469703,441152,0,0,531.089,785.385,812.285,826.184,831.984,833.584,48617.4
P1:C4,HP,5,88,0,5000,444.139,0.5,1608.17,284.696,0.641007,440256,0,0,520.79,789.385,848.684,901.082,1226.08,1459.97,48724.4
P1:C4,Boost,5,88,0,5000,315.015,1.2,473.391,98.1746,0.31165,6207168,0,0,330.594,413.792,438.191,459.991,472.191,473.291,48436.9
P1:C8,Lock,9,88,0,5000,1806.34,0.7,2362.15,471.095,0.260801,440120,0.286533,0,1980.86,2298.26,2318.16,2347.65,2356.05,2361.25,48712
P1:C8,EBR,9,88,0,5000,240.947,0.4,457.291,137.344,0.570017,441152,0,0,254.295,432.792,444.991,451.191,456.791,457.291,48418.4
P1:C8,HP,9,88,0,5000,731.307,0.4,2347.15,532.166,0.727692,440256,0,0,683.387,1771.97,1810.87,1876.16,2261.56,2289.46,48105.6
